iter	Logloss
0	0.6896090633
1	0.6856538083
2	0.6807640042
3	0.6760830567
4	0.6715801554
5	0.6681282718
6	0.6639344662
7	0.6593943274
8	0.6551771366
9	0.651095613
10	0.6464842645
11	0.6426707884
12	0.6394456323
13	0.6365358829
14	0.632923211
15	0.629362122
16	0.625480212
17	0.6222414215
18	0.6187067081
19	0.6159855442
20	0.612900237
21	0.6090565488
22	0.6057049106
23	0.6032368749
24	0.6006336286
25	0.5980677364
26	0.5960392337
27	0.5931798036
28	0.5912328518
29	0.5885612977
30	0.5863987892
31	0.5845672733
32	0.5823992721
33	0.5805390373
34	0.5788144382
35	0.5759431112
36	0.5736740994
37	0.5714488196
38	0.568959032
39	0.5662406301
40	0.5637656712
41	0.561240806
42	0.5596605897
43	0.5574136596
44	0.5560241091
45	0.5538499732
46	0.5517783462
47	0.5497994505
48	0.5477136253
49	0.5457001354
50	0.5444802063
51	0.5428310119
52	0.5403548757
53	0.5381478626
54	0.536177898
55	0.5350836797
56	0.5327309798
57	0.5306466741
58	0.5291358311
59	0.5269249076
60	0.5251780293
61	0.5241573928
62	0.5226291433
63	0.5209862762
64	0.5192244933
65	0.5183448881
66	0.5167877222
67	0.5149126345
68	0.5140875727
69	0.5123998974
70	0.5109137941
71	0.5095055443
72	0.5080180663
73	0.506859999
74	0.5051455103
75	0.5036238654
76	0.502041086
77	0.5013201779
78	0.4995227884
79	0.4982344282
80	0.4969551716
81	0.4959047851
82	0.4944851143
83	0.4938919208
84	0.4933098398
85	0.4925329359
86	0.4916423442
87	0.4907782378
88	0.4896790262
89	0.4884304523
90	0.4874397991
91	0.486220165
92	0.4853980752
93	0.4841930829
94	0.483153899
95	0.4822908729
96	0.4813928279
97	0.48010298
98	0.4790393879
99	0.4785332954
100	0.4774331163
101	0.4770287239
102	0.4760593692
103	0.475545147
104	0.4748551242
105	0.4740569946
106	0.473183546
107	0.4728265045
108	0.4715899954
109	0.4705012979
110	0.470140226
111	0.4692262516
112	0.4688843833
113	0.4681315697
114	0.4672825038
115	0.4669820651
116	0.4663203653
117	0.4658306391
118	0.4653307938
119	0.4645599629
120	0.4637253629
121	0.4629839446
122	0.4623792809
123	0.4617641895
124	0.4614691902
125	0.4607561773
126	0.4600659901
127	0.4596823561
128	0.4588038554
129	0.4579740863
130	0.4574625726
131	0.4567558491
132	0.4564769042
133	0.4559580779
134	0.4553173949
135	0.4545044929
136	0.4535889306
137	0.4532780822
138	0.4529360718
139	0.4524593771
140	0.4518722695
141	0.4513332226
142	0.4510368451
143	0.450432797
144	0.4499914616
145	0.4493471664
146	0.4485395727
147	0.4479615658
148	0.4474116644
149	0.4469287047
150	0.4463244162
151	0.4457738193
152	0.4451845465
153	0.4449945776
154	0.4447054583
155	0.4441216507
