iter	Passed	Remaining
267	1877	5128
268	1883	5118
269	1889	5107
270	1895	5098
271	1900	5087
272	1906	5077
273	1913	5070
274	1919	5061
275	1927	5055
276	1933	5046
277	1939	5037
278	1945	5028
279	1951	5018
280	1958	5010
281	1964	5000
282	1969	4989
283	1975	4981
284	1981	4971
285	1987	4961
286	1993	4953
287	1999	4943
288	2005	4934
289	2012	4927
290	2018	4917
291	2026	4913
292	2034	4908
293	2041	4903
294	2048	4894
295	2054	4885
296	2060	4877
297	2066	4867
298	2072	4859
299	2078	4849
300	2083	4839
301	2090	4832
302	2096	4823
303	2102	4813
304	2109	4805
305	2114	4796
306	2122	4790
307	2128	4781
308	2133	4772
309	2141	4766
310	2147	4757
311	2153	4749
312	2159	4740
313	2165	4731
314	2175	4730
315	2181	4720
316	2188	4715
317	2194	4706
318	2200	4696
319	2209	4695
320	2215	4686
321	2226	4687
322	2232	4678
323	2242	4677
324	2247	4668
325	2258	4668
326	2263	4659
327	2274	4658
328	2279	4649
329	2289	4649
330	2295	4639
331	2306	4640
332	2312	4631
333	2323	4632
334	2329	4624
335	2340	4624
336	2345	4615
337	2356	4616
338	2362	4606
339	2369	4600
340	2376	4592
341	2384	4586
342	2390	4578
343	2396	4570
344	2402	4561
345	2408	4552
346	2414	4543
347	2419	4533
348	2425	4524
349	2432	4516
350	2438	4508
351	2444	4499
352	2450	4490
353	2455	4481
354	2462	4473
355	2468	4464
356	2474	4456
357	2481	4449
358	2486	4439
359	2491	4430
360	2498	4423
361	2504	4414
362	2510	4405
363	2515	4396
364	2521	4386
365	2527	4378
366	2532	4368
367	2538	4359
368	2543	4350
369	2549	4340
370	2554	4331
371	2561	4324
372	2567	4315
373	2572	4306
374	2578	4298
375	2584	4288
376	2589	4279
377	2595	4270
378	2600	4261
379	2606	4252
380	2614	4247
381	2620	4239
382	2627	4232
383	2632	4223
384	2638	4213
385	2643	4205
386	2649	4196
387	2654	4187
388	2660	4178
389	2665	4169
390	2670	4159
391	2676	4150
392	2681	4141
393	2687	4133
394	2692	4124
395	2698	4115
396	2703	4106
397	2709	4097
398	2714	4088
399	2720	4080
400	2725	4071
401	2731	4063
402	2736	4054
403	2742	4045
404	2747	4036
405	2753	4028
406	2758	4019
407	2765	4012
408	2771	4004
409	2776	3995
410	2782	3987
411	2788	3979
412	2793	3971
413	2799	3962
414	2804	3953
415	2810	3945
416	2815	3936
417	2821	3928
418	2826	3919
419	2832	3911
420	2839	3904
421	2845	3897
422	2851	3889
423	2856	3880
424	2862	3872
425	2868	3864
426	2873	3856
427	2879	3848
428	2885	3840
429	2891	3832
430	2896	3824
431	2902	3816
432	2907	3807
433	2913	3800
434	2919	3791
435	2925	3784
436	2931	3776
437	2936	3768
438	2942	3760
439	2948	3752
440	2954	3744
441	2959	3736
442	2965	3728
443	2971	3721
444	2977	3713
445	2983	3705
446	2988	3697
447	2994	3689
448	3000	3681
449	3005	3673
450	3010	3665
451	3016	3657
452	3021	3648
453	3027	3641
454	3033	3633
455	3039	3625
456	3044	3617
457	3050	3609
458	3055	3601
459	3061	3593
460	3066	3585
461	3072	3577
462	3077	3569
463	3083	3561
464	3088	3553
465	3094	3545
466	3099	3537
467	3105	3529
468	3110	3522
469	3116	3514
470	3121	3506
471	3127	3498
472	3132	3490
473	3138	3483
474	3144	3475
475	3149	3467
476	3155	3459
477	3160	3451
478	3166	3444
479	3172	3437
480	3178	3429
481	3183	3421
482	3189	3413
483	3194	3405
484	3200	3398
485	3206	3391
486	3214	3385
487	3220	3378
488	3226	3371
489	3232	3364
490	3238	3357
491	3244	3349
492	3249	3342
493	3256	3335
494	3261	3327
495	3267	3320
496	3275	3315
497	3281	3308
498	3291	3305
499	3297	3297
500	3307	3294
501	3313	3287
502	3324	3284
503	3330	3277
504	3340	3274
505	3346	3267
506	3358	3265
507	3364	3258
508	3376	3256
509	3382	3249
510	3391	3245
511	3396	3237
512	3407	3234
513	3413	3227
514	3423	3223
515	3428	3216
516	3438	3212
517	3444	3205
518	3455	3202
519	3461	3195
520	3471	3192
521	3477	3184
522	3488	3181
523	3493	3173
524	3504	3170
525	3510	3163
526	3517	3157
527	3524	3150
528	3535	3147
529	3541	3140
530	3549	3134
531	3556	3128
532	3566	3125
533	3572	3117
534	3583	3114
535	3589	3107
536	3600	3104
537	3606	3096
538	3617	3093
539	3622	3086
540	3633	3082
541	3639	3075
542	3649	3071
543	3655	3064
544	3667	3061
545	3673	3054
546	3683	3050
547	3688	3042
548	3702	3041
549	3720	3044
550	3735	3044
551	3751	3044
552	3764	3043
553	3782	3045
554	3798	3045
555	3816	3047
556	3833	3048
557	3848	3048
558	3860	3045
559	3869	3040
560	3882	3037
561	3891	3032
562	3898	3026
563	3904	3018
564	3920	3018
565	3929	3012
566	3938	3007
567	3946	3001
568	3955	2996
569	3963	2989
570	3971	2984
571	3980	2978
572	3991	2974
573	4008	2974
574	4038	2984
575	4060	2989
576	4073	2986
577	4088	2984
578	4104	2984
579	4122	2985
580	4133	2981
581	4152	2982
582	4164	2978
583	4180	2978
584	4195	2976
585	4204	2970
586	4212	2963
587	4226	2961
588	4239	2958
589	4250	2953
590	4261	2948
591	4277	2947
592	4291	2945
593	4306	2943
594	4320	2940
595	4330	2935
596	4338	2928
597	4357	2929
598	4365	2922
599	4377	2918
600	4385	2911
601	4396	2906
602	4406	2901
603	4413	2893
604	4423	2887
605	4430	2880
606	4438	2873
607	4449	2868
608	4456	2861
609	4465	2854
610	4472	2847
611	4479	2840
612	4486	2832
613	4494	2825
614	4501	2818
615	4509	2810
616	4515	2803
617	4521	2794
618	4527	2786
619	4533	2778
620	4538	2770
621	4544	2762
622	4550	2753
623	4556	2745
624	4562	2737
625	4569	2729
626	4576	2722
627	4583	2715
628	4589	2706
629	4594	2698
630	4600	2690
631	4608	2683
632	4614	2675
633	4621	2667
634	4630	2661
635	4638	2654
636	4644	2646
637	4650	2638
638	4656	2630
639	4662	2622
640	4668	2614
641	4674	2606
642	4680	2598
643	4686	2590
644	4692	2582
645	4698	2574
646	4705	2567
647	4714	2560
648	4724	2555
649	4730	2547
650	4741	2541
651	4747	2533
652	4759	2529
653	4765	2521
654	4775	2515
655	4781	2507
656	4792	2502
657	4798	2494
658	4810	2489
659	4821	2483
660	4827	2475
661	4838	2470
662	4844	2462
663	4856	2457
664	4862	2449
665	4870	2442
666	4877	2435
667	4885	2428
668	4892	2420
669	4901	2413
670	4907	2405
671	4913	2398
672	4919	2390
673	4925	2382
674	4933	2375
675	4940	2367
676	4946	2360
677	4952	2352
678	4958	2344
679	4965	2336
680	4973	2329
681	4987	2325
682	4994	2317
683	5002	2311
684	5008	2303
685	5016	2295
686	5022	2288
687	5029	2280
688	5035	2272
689	5040	2264
690	5047	2257
691	5053	2249
692	5059	2241
693	5065	2233
694	5070	2225
695	5076	2217
696	5082	2209
697	5087	2201
698	5094	2193
699	5099	2185
700	5105	2177
701	5111	2169
702	5116	2161
703	5122	2153
704	5128	2145
705	5133	2137
706	5139	2129
707	5145	2121
708	5150	2114
709	5156	2106
710	5162	2098
711	5167	2090
712	5174	2082
713	5180	2075
714	5185	2067
715	5191	2059
716	5197	2051
717	5203	2043
718	5210	2036
719	5216	2028
720	5225	2022
721	5231	2014
722	5242	2008
723	5250	2001
724	5260	1995
725	5266	1987
726	5277	1981
727	5283	1974
728	5293	1967
729	5299	1960
730	5309	1953
731	5315	1946
732	5327	1940
733	5338	1934
734	5345	1927
735	5357	1921
736	5363	1913
737	5374	1907
738	5379	1899
739	5390	1893
740	5395	1886
741	5407	1880
742	5412	1872
743	5422	1865
744	5427	1857
745	5438	1851
746	5443	1843
747	5452	1836
748	5458	1829
749	5465	1821
750	5472	1814
751	5478	1806
752	5488	1800
753	5494	1792
754	5504	1786
755	5510	1778
756	5521	1772
757	5526	1764
758	5533	1757
759	5539	1749
760	5546	1741
761	5554	1734
762	5559	1727
763	5572	1721
764	5582	1714
765	5588	1707
766	5598	1700
767	5604	1693
768	5612	1686
769	5621	1679
770	5630	1672
771	5636	1664
772	5644	1657
773	5650	1649
774	5656	1642
775	5662	1634
776	5669	1627
777	5677	1620
778	5683	1612
779	5688	1604
780	5695	1596
781	5701	1589
782	5707	1581
783	5713	1574
784	5718	1566
785	5724	1558
786	5732	1551
787	5739	1544
788	5747	1536
789	5754	1529
790	5762	1522
791	5769	1515
792	5777	1508
793	5784	1500
794	5792	1493
795	5799	1486
796	5808	1479
797	5815	1472
798	5823	1464
799	5828	1457
800	5834	1449
801	5841	1442
802	5847	1434
803	5854	1427
804	5859	1419
805	5865	1411
806	5871	1404
807	5877	1396
808	5884	1389
809	5891	1381
810	5897	1374
811	5903	1366
812	5909	1359
813	5915	1351
814	5921	1344
815	5927	1336
816	5933	1328
817	5939	1321
818	5945	1313
819	5951	1306
820	5957	1298
821	5963	1291
822	5969	1283
823	5974	1276
824	5980	1268
825	5987	1261
826	5992	1253
827	5999	1246
828	6005	1238
829	6011	1231
830	6018	1223
831	6023	1216
832	6029	1208
833	6036	1201
834	6042	1194
835	6053	1187
836	6059	1180
837	6066	1172
838	6073	1165
839	6080	1158
840	6086	1150
841	6091	1143
842	6098	1135
843	6103	1128
844	6109	1120
845	6115	1113
846	6121	1105
847	6128	1098
848	6133	1090
849	6139	1083
850	6146	1076
851	6153	1068
852	6160	1061
853	6165	1054
854	6171	1046
855	6177	1039
856	6183	1031
857	6189	1024
858	6195	1017
859	6201	1009
860	6206	1002
861	6212	994
862	6218	987
863	6224	979
864	6230	972
865	6236	964
866	6243	957
867	6249	950
868	6254	942
869	6260	935
870	6266	928
871	6271	920
872	6277	913
873	6283	905
874	6289	898
875	6296	891
876	6302	883
877	6313	877
878	6318	869
879	6329	863
880	6334	855
881	6345	848
882	6350	841
883	6359	834
884	6365	827
885	6373	820
886	6380	812
887	6385	805
888	6395	798
889	6401	791
890	6411	784
891	6416	776
892	6427	770
893	6434	762
894	6446	756
895	6463	750
896	6477	743
897	6492	737
898	6498	730
899	6505	722
900	6512	715
901	6520	708
902	6527	701
903	6534	693
904	6540	686
905	6547	679
906	6554	672
907	6559	664
908	6567	657
909	6574	650
910	6579	642
911	6587	635
912	6593	628
913	6603	621
914	6608	613
915	6616	606
916	6623	599
917	6628	592
918	6639	585
919	6644	577
920	6654	570
921	6660	563
922	6669	556
923	6674	548
924	6682	541
925	6687	534
926	6693	527
927	6700	519
928	6705	512
929	6711	505
930	6717	497
931	6723	490
932	6730	483
933	6737	476
934	6745	468
935	6750	461
936	6756	454
937	6762	446
938	6768	439
939	6773	432
940	6779	425
941	6785	417
942	6790	410
943	6796	403
944	6802	395
945	6808	388
946	6814	381
947	6819	374
948	6825	366
949	6831	359
950	6837	352
951	6843	345
952	6848	337
953	6855	330
954	6865	323
955	6871	316
956	6880	309
957	6886	301
958	6896	294
959	6902	287
960	6912	280
961	6918	273
962	6926	266
963	6932	258
964	6938	251
965	6944	244
966	6951	237
967	6958	230
968	6964	222
969	6971	215
970	6977	208
971	6982	201
972	6988	193
973	6994	186
974	7000	179
975	7006	172
976	7012	165
977	7018	157
978	7023	150
979	7029	143
980	7036	136
981	7041	129
982	7047	121
983	7055	114
984	7061	107
985	7067	100
986	7072	93
987	7078	85
988	7085	78
989	7090	71
990	7096	64
991	7102	57
992	7108	50
993	7113	42
994	7120	35
995	7125	28
996	7131	21
997	7137	14
998	7142	7
999	7149	0
