iter	Logloss
0	0.6400279497
1	0.5921954348
2	0.5477486688
3	0.5092432655
4	0.474152634
5	0.4422745941
6	0.4140053027
7	0.3879241833
8	0.3646845709
9	0.3439408891
10	0.3253504988
11	0.308274875
12	0.2929541893
13	0.2785079056
14	0.2661471734
15	0.2546485185
16	0.2442378149
17	0.2347615334
18	0.2262446382
19	0.2182814754
20	0.2114344332
21	0.2048376367
22	0.1990843455
23	0.1939095399
24	0.1893418267
25	0.1847411322
26	0.1806525609
27	0.1768453046
28	0.1734283958
29	0.170199596
30	0.1670557353
31	0.1642686404
32	0.1616569969
33	0.1596756229
34	0.1576478913
35	0.1557363308
36	0.1540181951
37	0.1522959048
38	0.1507365729
39	0.149265858
40	0.1479129843
41	0.1467060988
42	0.1456568212
43	0.1445582634
44	0.1436197395
45	0.1427272796
46	0.1418675315
47	0.1411166066
48	0.140359495
49	0.1395861062
50	0.138910385
51	0.1383098306
52	0.1377836577
53	0.1372339721
54	0.1367522557
55	0.1363068055
56	0.1359039393
57	0.1354771224
58	0.1351060469
59	0.1348129911
60	0.1344476549
61	0.1341265446
62	0.1338559963
63	0.1335948804
64	0.1333366701
65	0.1330636217
66	0.1327845429
67	0.1325564854
68	0.1323275333
69	0.1321048875
70	0.1318803528
71	0.131640877
72	0.1314688489
73	0.1312755859
74	0.1311101955
75	0.130911409
76	0.1307422046
77	0.1305695679
78	0.1304341156
79	0.1302879994
80	0.130148114
81	0.130024527
82	0.1298839159
83	0.1297565262
84	0.1296474515
85	0.1295269234
86	0.12941705
87	0.1292968221
88	0.1291456646
89	0.1290638842
90	0.1289568625
91	0.1288309791
92	0.1287532866
93	0.1286601004
94	0.1285955108
95	0.1284957231
96	0.1284148898
97	0.1283238628
98	0.1282181708
99	0.1281146907
100	0.1280265151
101	0.1279725638
102	0.1278630507
103	0.1277695416
104	0.1276864532
105	0.1276339612
106	0.1275709442
107	0.1274883748
108	0.1274206036
109	0.1273654747
110	0.1272925042
111	0.1272420122
112	0.1271857232
113	0.1271369352
114	0.1270793156
115	0.1270381829
116	0.1269596638
117	0.1268944507
118	0.1268338362
119	0.1267938348
120	0.1267545958
121	0.1266881906
122	0.1266223472
123	0.1265692609
124	0.1264842982
125	0.1264052001
126	0.1263538984
127	0.1263080103
128	0.1262740931
129	0.1262140538
130	0.1261624183
131	0.1261104931
132	0.1260563561
133	0.1260148079
134	0.1259780132
135	0.1259155606
136	0.1258659292
137	0.1258214345
138	0.1257684406
139	0.1257202065
140	0.1256858187
141	0.1256401723
142	0.125581295
143	0.1255205376
144	0.1254877694
145	0.1254474429
146	0.1253895352
147	0.1253436783
148	0.1253121455
149	0.1252970659
150	0.1252347949
151	0.1251644731
152	0.1251334401
153	0.1250867304
154	0.1250337013
155	0.1249957753
156	0.1249397726
157	0.1249054769
158	0.1248674987
159	0.1248229196
160	0.124787243
161	0.1247568754
162	0.1246795637
163	0.1246446426
164	0.1245764726
165	0.1245022181
166	0.1244570392
167	0.1244096601
168	0.1243737526
169	0.1243225834
170	0.1242988302
171	0.1242258916
172	0.124187037
173	0.1241572697
174	0.1241208623
175	0.1240621231
176	0.1240371974
177	0.1240025997
178	0.1239570956
179	0.1239224156
180	0.1238745626
181	0.1238373459
182	0.1237983915
183	0.1237381509
184	0.1237146764
185	0.1236804604
186	0.1236541983
187	0.1236050261
188	0.1235821306
189	0.1235563344
190	0.1235268475
191	0.1235261082
192	0.1234939085
193	0.1234473375
194	0.1234398121
195	0.1233972064
196	0.1233525178
197	0.1233036957
198	0.1232739465
199	0.1232524487
200	0.123218619
201	0.1231808973
202	0.1231548878
203	0.1231258981
204	0.1230986153
205	0.1230557353
206	0.1229936842
207	0.1229564533
208	0.1229247039
209	0.1229203755
210	0.1228912443
211	0.122847787
212	0.1228284514
213	0.1228106132
214	0.1227959531
215	0.1227493811
216	0.1227260333
217	0.122677304
218	0.1226420594
219	0.1225963138
220	0.1225591712
221	0.1225261919
222	0.1224693938
223	0.1224254885
224	0.1223833028
225	0.1223644444
226	0.1222868471
227	0.1222517602
228	0.1222079777
229	0.1221689314
230	0.1221159433
231	0.122061576
232	0.1220269864
233	0.1219963611
234	0.1219463279
235	0.1219100064
236	0.1218858468
237	0.1218502057
238	0.1218072072
239	0.1217458187
240	0.1217457498
241	0.1217233797
242	0.1216993824
243	0.1216616464
244	0.1216160602
245	0.1215918041
246	0.1215699206
247	0.1215443674
248	0.121520654
249	0.1214988139
250	0.1214378128
251	0.1213887128
252	0.1213562646
253	0.1213363911
254	0.1212746716
255	0.1212304019
256	0.121203145
257	0.1211807128
258	0.1211780942
259	0.1211429421
260	0.1211110959
261	0.1210583652
262	0.1209966352
263	0.1209401098
264	0.1209169774
265	0.1208856447
266	0.1208258067
267	0.1208034311
268	0.1207917882
269	0.1207514317
270	0.1207289606
271	0.1207030244
272	0.120662462
273	0.1206254923
274	0.1205891275
275	0.1205648707
276	0.1205358486
277	0.1204588477
278	0.12037101
279	0.1203212397
280	0.1202875252
281	0.1202661857
282	0.1202455643
283	0.1202141558
284	0.1201891377
285	0.1201513966
286	0.1200570424
287	0.1200195529
288	0.1199781274
289	0.1199170071
290	0.1199004234
291	0.1198769795
292	0.1198487164
293	0.1198245299
294	0.1197489036
295	0.1196798234
296	0.1196595673
297	0.1196156646
298	0.1195656059
299	0.119536094
300	0.1194751286
301	0.1194529593
302	0.1194017576
303	0.11934461
304	0.1193138216
305	0.1192955197
306	0.1192369277
307	0.1191913448
308	0.1191560192
309	0.1190848282
310	0.1190486118
311	0.1189845116
312	0.118944303
313	0.1189111238
314	0.1188770908
315	0.1188336859
316	0.1187589854
317	0.1187321256
318	0.1186931767
319	0.1186548336
320	0.1186358678
321	0.1185629747
322	0.1185069149
323	0.1184631361
324	0.1183884414
325	0.1183363049
326	0.1182972576
327	0.118245418
328	0.1182019237
329	0.1181471147
330	0.1181251298
331	0.1180912537
332	0.1179937887
333	0.117946334
334	0.11792562
335	0.1179042307
336	0.1178238338
337	0.1177996415
338	0.117692708
339	0.1176248113
340	0.1175760622
341	0.1175503662
342	0.1174504464
343	0.1173763024
344	0.1173407331
345	0.11731357
346	0.1172660903
347	0.1172264079
348	0.1171519774
349	0.1170940524
350	0.1170636798
351	0.1170232823
352	0.1169874025
353	0.1169203874
354	0.1168658218
355	0.1167877072
356	0.1167553879
357	0.1167066121
358	0.1166576643
359	0.1166113887
360	0.1165645759
361	0.1165404476
362	0.1165278433
363	0.1164361105
364	0.1163759118
365	0.1163246455
366	0.1162879798
367	0.1162497758
368	0.1162074427
369	0.1161618394
370	0.1161210318
371	0.1160898712
372	0.1160444104
373	0.1160257496
374	0.115987942
375	0.1159363722
376	0.1158817076
377	0.1158553742
378	0.1158139188
379	0.1157754016
380	0.115745887
381	0.1157082272
382	0.1156568988
383	0.1156147989
384	0.115576045
385	0.1155118781
386	0.1154797446
387	0.1154287782
388	0.1153977157
389	0.1153752767
390	0.1153388869
391	0.1153044679
392	0.1152695452
393	0.1152028086
394	0.1151433111
395	0.1150968863
396	0.1150407783
397	0.1150039745
398	0.1149715351
399	0.1149265357
400	0.1148931184
401	0.1148603281
402	0.1148305166
403	0.114797002
404	0.1147704331
405	0.1147423147
406	0.1147166094
407	0.1146991275
408	0.1146458188
409	0.1146102248
410	0.1145757171
411	0.1145333833
412	0.1144830394
413	0.1144519521
414	0.1144037352
415	0.1143197329
416	0.1142720609
417	0.1142041508
418	0.1141822162
419	0.1141504546
420	0.1140731515
421	0.1140387781
422	0.1140047679
423	0.1139774533
424	0.1139333724
425	0.1139092153
426	0.113874611
427	0.1138300552
428	0.1137575109
429	0.113712619
430	0.1136385272
431	0.1135936551
432	0.1135734439
433	0.1135269155
434	0.1135008503
435	0.1134801876
436	0.1134127543
437	0.113375415
438	0.1133567893
439	0.113323023
440	0.1132998422
441	0.1132490248
442	0.1132035642
443	0.1131812272
444	0.1131118483
445	0.1130528199
446	0.1130437318
447	0.1129909794
448	0.112926442
449	0.1128850413
450	0.112837865
451	0.112786016
452	0.1127493345
453	0.1127112537
454	0.112627898
455	0.1125919625
456	0.1125252031
457	0.1125021303
458	0.112458904
459	0.1124074411
460	0.1123804761
461	0.1123134404
462	0.1122693561
463	0.1122385875
464	0.112206168
465	0.1121568538
466	0.1121087378
467	0.1120599519
468	0.1120171547
469	0.1119956693
470	0.1119542499
471	0.1119091245
472	0.1118874672
473	0.1118546251
474	0.1117996538
475	0.1117381919
476	0.1117111858
477	0.1116737707
478	0.1116318397
479	0.1115841349
480	0.1115285842
481	0.111483723
482	0.1114520117
483	0.1114097779
484	0.1113860229
485	0.1113514246
486	0.1113221421
487	0.1112694322
